start_step,end_step,forecast_horizon,forecast_MSE,persistence_MSE,percent_improvement,method
37,40,15,0.026184831,0.043595016,39.93618197,warping
37,41,20,0.035155027,0.056039416,37.26732044,warping
37,42,25,0.043083142,0.06625804,34.97673316,warping
37,43,30,0.049869814,0.075549474,33.99052152,warping
37,44,35,0.056738864,0.083398394,31.96647904,warping
37,45,40,0.062019669,0.089711298,30.86749349,warping
37,46,45,0.069698432,0.098978009,29.58190164,warping
37,47,50,0.080229224,0.109280496,26.58413287,warping
38,39,5,0.017702012,0.023774596,25.5423211,warping
38,40,10,0.023007416,0.034807029,33.90008762,warping
38,41,15,0.032982109,0.049138376,32.87912206,warping
38,42,20,0.040526969,0.060163352,32.63844561,warping
38,43,25,0.047750623,0.070262146,32.03933339,warping
38,44,30,0.052994114,0.078470639,32.46631498,warping
38,45,35,0.056486244,0.085407365,33.86256053,warping
38,46,40,0.063446697,0.095484381,33.55280108,warping
38,47,45,0.073486876,0.106094617,30.73458615,warping
38,48,50,0.07482718,0.107461246,30.36821826,warping
39,40,5,0.018047323,0.007201785,-150.5951403,warping
39,41,10,0.035275853,0.022059604,-59.91153864,warping
39,42,15,0.051593256,0.035433623,-45.605364,warping
39,43,20,0.066414725,0.048741392,-36.25939289,warping
39,44,25,0.079862173,0.059859865,-33.41522467,warping
39,45,30,0.09238991,0.06878955,-34.30806087,warping
39,46,35,0.102272713,0.081118753,-26.07776731,warping
39,47,40,0.11221931,0.093610871,-19.87850174,warping
39,48,45,0.116189233,0.095346788,-21.85961965,warping
39,49,50,0.127823457,0.112641892,-13.477725,warping
40,41,5,0.008455205,0.010736272,21.24635747,warping
40,42,10,0.016513282,0.023163038,28.70848144,warping
40,43,15,0.024841458,0.037219143,33.25623217,warping
40,44,20,0.034548439,0.049286915,29.90342607,warping
40,45,25,0.042455443,0.059304186,28.41071501,warping
40,46,30,0.058055768,0.072585721,20.01764659,warping
40,47,35,0.070663438,0.086025648,17.85770894,warping
40,48,40,0.077515343,0.087762684,11.67619313,warping
40,49,45,0.087269288,0.106553907,18.09846262,warping
40,50,50,0.097684572,0.11294913,13.5145426,warping
41,42,5,0.006290587,0.008225908,23.52714278,warping
41,43,10,0.014757508,0.022044191,33.0548918,warping
41,44,15,0.024252362,0.034770592,30.25036181,warping
41,45,20,0.037198935,0.046009852,19.15006571,warping
41,46,25,0.0497589,0.061050137,18.49502201,warping
41,47,30,0.063974279,0.075914153,15.72812606,warping
41,48,35,0.0719557,0.07815384,7.93069182,warping
41,49,40,0.089255315,0.09851826,9.402262102,warping
41,50,45,0.096457763,0.106093521,9.08232424,warping
41,51,50,0.104361026,0.114396575,8.772595536,warping
42,43,5,0.00681478,0.010182325,33.07245249,warping
42,44,10,0.013264567,0.022931515,42.15573233,warping
42,45,15,0.020831523,0.035440404,41.22097848,warping
42,46,20,0.032735271,0.052096306,37.16393098,warping
42,47,25,0.045382189,0.067544789,32.81170976,warping
42,48,30,0.050452934,0.070112296,28.0398205,warping
42,49,35,0.06695026,0.091315154,26.68220188,warping
42,50,40,0.07633223,0.100055234,23.70990806,warping
42,51,45,0.084155952,0.109045056,22.82460585,warping
42,52,50,0.103704917,0.128106009,19.04757819,warping
43,44,5,0.006886953,0.008122842,15.21498229,warping
43,45,10,0.016510724,0.020665569,20.10515607,warping
43,46,15,0.029151355,0.038117033,23.52144652,warping
43,47,20,0.047100551,0.05426331,13.20000431,warping
43,48,25,0.063361556,0.057147143,-10.87440659,warping
43,49,30,0.085367909,0.078732798,-8.42737872,warping
43,50,35,0.10537853,0.088473108,-19.10797743,warping
43,51,40,0.123356228,0.098023256,-25.84383849,warping
43,52,45,0.146803977,0.118868663,-23.5009909,warping
43,53,50,0.171165111,0.130896199,-30.76400406,warping
44,45,5,0.006393473,0.008911375,28.25491699,warping
44,46,10,0.014313092,0.025490521,43.84935359,warping
44,47,15,0.024931764,0.041664687,40.16092274,warping
44,48,20,0.027072386,0.044767609,39.52684334,warping
44,49,25,0.042479408,0.067458171,37.02852039,warping
44,50,30,0.049637263,0.077429078,35.89325305,warping
44,51,35,0.055469945,0.087244923,36.42043157,warping
44,52,40,0.075414529,0.110804165,31.93890397,warping
44,53,45,0.08994297,0.124268581,27.62211585,warping
44,54,50,0.099096001,0.134992909,26.59169952,warping
45,46,5,0.012031855,0.012926636,6.921999282,warping
45,47,10,0.023542935,0.028661487,17.85864293,warping
45,48,15,0.032701247,0.031764844,-2.947921959,warping
45,49,20,0.04195618,0.054785034,23.41671209,warping
45,50,25,0.056736448,0.064752782,12.37990627,warping
45,51,30,0.062543991,0.075020816,16.63115045,warping
45,52,35,0.078483056,0.100012738,21.52694042,warping
45,53,40,0.090493312,0.11710873,22.72710034,warping
45,54,45,0.099804157,0.128581165,22.38042263,warping
45,55,50,0.104603128,0.131239509,20.29600756,warping
