start_step,end_step,forecast_horizon,forecast_MSE,persistence_MSE,percent_improvement,method
31,39,40,0.072263509,0.078090288,7.461592404,warping
31,40,45,0.078013762,0.084440023,7.610443597,warping
31,41,50,0.087118408,0.094044951,7.36513984,warping
32,33,5,0.008145202,0.008095376,-0.615498964,warping
32,34,10,0.020698204,0.027359154,24.34633018,warping
32,35,15,0.030126648,0.040521782,25.65320012,warping
32,36,20,0.035647273,0.046891388,23.9790608,warping
32,37,25,0.044665246,0.055413744,19.39680876,warping
32,38,30,0.053674547,0.061612923,12.88427167,warping
32,39,35,0.071749357,0.075286777,4.698593819,warping
32,40,40,0.079019571,0.081676491,3.252980212,warping
32,41,45,0.085022827,0.091798116,7.380640603,warping
32,42,50,0.092567178,0.099535642,7.000973623,warping
33,34,5,0.011482012,0.014501315,20.82088685,warping
33,35,10,0.020193446,0.02872171,29.69274273,warping
33,36,15,0.025303992,0.036570436,30.80751792,warping
33,37,20,0.031224731,0.046838505,33.33533758,warping
33,38,25,0.036743703,0.053877435,31.80131276,warping
33,39,30,0.050539501,0.06911294,26.87403977,warping
33,40,35,0.056488981,0.075635071,25.3137732,warping
33,41,40,0.062615307,0.085838444,27.05447169,warping
33,42,45,0.070202296,0.093764077,25.12879336,warping
33,43,50,0.077122462,0.099673675,22.62504431,warping
34,35,5,0.00957846,0.010476921,8.57562228,warping
34,36,10,0.019606697,0.020496679,4.342077254,warping
34,37,15,0.030193881,0.03398802,11.16316562,warping
34,38,20,0.040700493,0.042543814,4.332758203,warping
34,39,25,0.05664076,0.06064359,6.600582124,warping
34,40,30,0.064869715,0.067316613,3.634909118,warping
34,41,35,0.074370107,0.077611111,4.175953099,warping
34,42,40,0.084251659,0.085936422,1.96047553,warping
34,43,45,0.094441614,0.093050843,-1.494635519,warping
34,44,50,0.104555864,0.098610642,-6.028985817,warping
35,36,5,0.008638624,0.007244782,-19.23924324,warping
35,37,10,0.018494082,0.021565924,14.24395982,warping
35,38,15,0.0274124,0.032243452,14.98304993,warping
35,39,20,0.041037007,0.053967352,23.95956833,warping
35,40,25,0.047961086,0.061887281,22.50251447,warping
35,41,30,0.057086665,0.072647465,21.41960439,warping
35,42,35,0.065247083,0.08135591,19.80043823,warping
35,43,40,0.07283467,0.088900966,18.07212701,warping
35,44,45,0.080456853,0.095008935,15.31654085,warping
35,45,50,0.087543363,0.100004255,12.4603614,warping
36,37,5,0.007035224,0.009309996,24.43365205,warping
36,38,10,0.013397979,0.020071262,33.2479504,warping
